Recommendation Number,Message,Result,Explanation,Time
4.1.6,events modifying u/g info collected,PASS,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_4.rules:-w /etc/group -p wa -k identity
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_4.rules:-w /etc/passwd -p wa -k identity
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_4.rules:-w /etc/gshadow -p wa -k identity
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_4.rules:-w /etc/shadow -p wa -k identity
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_4.rules:-w /etc/security/opasswd -p wa -k identity
-w /etc/group -p wa -k identity
-w /etc/passwd -p wa -k identity
-w /etc/gshadow -p wa -k identity
-w /etc/shadow -p wa -k identity
-w /etc/security/opasswd -p wa -k identity
",0.03852057456970215
4.1.7,network system-locale events not coll,FAIL,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_5.rules:-a always,exit -F arch=b64 -S sethostname -S setdomainname -k system-locale
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_5.rules:-a always,exit -F arch=b32 -S sethostname -S setdomainname -k system-locale
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_5.rules:-w /etc/issue -p wa -k system-locale
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_5.rules:-w /etc/issue.net -p wa -k system-locale
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_5.rules:-w /etc/hosts -p wa -k system-locale
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_5.rules:-w /etc/network -p wa -k system-locale
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_5.rules:-w /etc/networks -p wa -k system-locale
",0.04456686973571777
4.1.8,events modifying system's MAC coll,PASS,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_6.rules:-w /etc/apparmor/ -p wa -k MAC-policy
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_6.rules:-w /etc/apparmor.d/ -p wa -k MAC-policy
-w /etc/apparmor -p wa -k MAC-policy
-w /etc/apparmor.d -p wa -k MAC-policy
",0.03944873809814453
4.1.9,login and logout events are collected,PASS,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_7.rules:-w /var/log/faillog -p wa -k logins
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_7.rules:-w /var/log/lastlog -p wa -k logins
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_7.rules:-w /var/log/tallylog -p wa -k logins
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_8.rules:-w /var/log/wtmp -p wa -k logins
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_8.rules:-w /var/log/btmp -p wa -k logins
-w /var/log/faillog -p wa -k logins
-w /var/log/lastlog -p wa -k logins
-w /var/log/tallylog -p wa -k logins
-w /var/log/wtmp -p wa -k logins
-w /var/log/btmp -p wa -k logins
",0.03855490684509277
4.1.10,session initiation info is collected,PASS,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_7.rules:-w /var/log/faillog -p wa -k logins
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_7.rules:-w /var/log/lastlog -p wa -k logins
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_7.rules:-w /var/log/tallylog -p wa -k logins
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_8.rules:-w /var/run/utmp -p wa -k session
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_8.rules:-w /var/log/wtmp -p wa -k logins
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_8.rules:-w /var/log/btmp -p wa -k logins
-w /var/log/faillog -p wa -k logins
-w /var/log/lastlog -p wa -k logins
-w /var/log/tallylog -p wa -k logins
-w /var/run/utmp -p wa -k session
-w /var/log/wtmp -p wa -k logins
-w /var/log/btmp -p wa -k logins
",0.03759145736694336
4.1.11,chmod *.rules events not coll,FAIL,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_9.rules:-a always,exit -F arch=b32 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F auid!=4294967295 -k perm_mod
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_9.rules:-a always,exit -F arch=b32 -S chown -S fchown -S fchownat -S lchown -F auid>=1000 -F auid!=4294967295 -k perm_mod
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_9.rules:-a always,exit -F arch=b32 -S setxattr -S lsetxattr -S fsetxattr -S removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 -k perm_mod
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_9.rules:-a always,exit -F arch=b64 -S chmod -S fchmod -S fchmodat -F auid>=1000 -F auid!=4294967295 -k perm_mod
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_9.rules:-a always,exit -F arch=b64 -S chown -S fchown -S fchownat -S lchown -F auid>=1000 -F auid!=4294967295 -k perm_mod
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_9.rules:-a always,exit -F arch=b64 -S setxattr -S lsetxattr -S fsetxattr -S removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 -k perm_mod
-a always,exit -F arch=b32 -S chmod,fchmod,fchmodat -F auid>=1000 -F auid!=-1 -F key=perm_mod
-a always,exit -F arch=b32 -S lchown,fchown,chown,fchownat -F auid>=1000 -F auid!=-1 -F key=perm_mod
-a always,exit -F arch=b32 -S setxattr,lsetxattr,fsetxattr,removexattr,lremovexattr,fremovexattr -F auid>=1000 -F auid!=-1 -F key=perm_mod
-a always,exit -F arch=b64 -S chmod,fchmod,fchmodat -F auid>=1000 -F auid!=-1 -F key=perm_mod
-a always,exit -F arch=b64 -S chown,fchown,lchown,fchownat -F auid>=1000 -F auid!=-1 -F key=perm_mod
-a always,exit -F arch=b64 -S setxattr,lsetxattr,fsetxattr,removexattr,lremovexattr,fremovexattr -F auid>=1000 -F auid!=-1 -F key=perm_mod
",0.03782939910888672
4.1.12,EACCES *.rules events not coll,FAIL,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_10.rules:-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_10.rules:-a always,exit -F arch=b32 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_10.rules:-a always,exit -F arch=b64 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EACCES -F auid>=1000 -F auid!=4294967295 -k access
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_10.rules:-a always,exit -F arch=b64 -S creat -S open -S openat -S truncate -S ftruncate -F exit=-EPERM -F auid>=1000 -F auid!=4294967295 -k access
-a always,exit -F arch=b32 -S open,creat,truncate,ftruncate,openat -F exit=-EACCES -F auid>=1000 -F auid!=-1 -F key=access
-a always,exit -F arch=b32 -S open,creat,truncate,ftruncate,openat -F exit=-EPERM -F auid>=1000 -F auid!=-1 -F key=access
-a always,exit -F arch=b64 -S open,truncate,ftruncate,creat,openat -F exit=-EACCES -F auid>=1000 -F auid!=-1 -F key=access
-a always,exit -F arch=b64 -S open,truncate,ftruncate,creat,openat -F exit=-EPERM -F auid>=1000 -F auid!=-1 -F key=access
",0.038173675537109375
4.1.13,privileged commands not collected,FAIL,"Following partitions were found
/dev/sda1 on / type ext4 (rw,relatime,discard)
/dev/sda15 on /boot/efi type vfat (rw,relatime,fmask=0077,dmask=0077,codepage=437,iocharset=iso8859-1,shortname=mixed,errors=remount-ro)
/dev/sdb1 on /mnt type ext4 (rw,relatime,x-systemd.requires=cloud-init.service)

ABOVE was found on /dev/sda1

ABOVE was found on /dev/sda15

ABOVE was found on /dev/sdb1
",0.07619762420654297
4.1.14,mount *.rules events not coll,FAIL,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_12.rules:-a always,exit -F arch=b32 -S mount -F auid>=1000 -F auid!=4294967295 -k mounts
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_12.rules:-a always,exit -F arch=b64 -S mount -F auid>=1000 -F auid!=4294967295 -k mounts
-a always,exit -F arch=b32 -S mount -F auid>=1000 -F auid!=-1 -F key=mounts
-a always,exit -F arch=b64 -S mount -F auid>=1000 -F auid!=-1 -F key=mounts
",0.04561305046081543
4.1.15,"unlink, rename *.rules events not coll",FAIL,"/etc/audit/rules.d/audit.rules:## First rule - delete all
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_13.rules:-a always,exit -F arch=b32 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_13.rules:-a always,exit -F arch=b64 -S unlink -S unlinkat -S rename -S renameat -F auid>=1000 -F auid!=4294967295 -k delete
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_16.rules:-a always,exit -F arch=b64 -S init_module -S delete_module -k modules
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_16.rules:-a always,exit -F arch=b32 -S init_module -S delete_module -k modules
-a always,exit -F arch=b32 -S unlink,rename,unlinkat,renameat -F auid>=1000 -F auid!=-1 -F key=delete
-a always,exit -F arch=b64 -S rename,unlink,unlinkat,renameat -F auid>=1000 -F auid!=-1 -F key=delete
-a always,exit -F arch=b64 -S init_module,delete_module -F key=modules
-a always,exit -F arch=b32 -S init_module,delete_module -F key=modules
",0.044920921325683594
4.1.16,changes to sudoers collected,PASS,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_14.rules:-w /etc/sudoers -p wa -k scope
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_14.rules:-w /etc/sudoers.d/ -p wa -k scope
-w /etc/sudoers -p wa -k scope
-w /etc/sudoers.d -p wa -k scope
",0.04150795936584473
4.1.17,sudolog collected,PASS,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_15.rules:-w /var/log/sudo.log -p wa -k actions
-w /var/log/sudo.log -p wa -k actions
",0.0455014705657959
4.1.18,kernel module monitored,PASS,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_16.rules:-w /sbin/insmod -p x -k modules
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_16.rules:-w /sbin/rmmod -p x -k modules
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_16.rules:-w /sbin/modprobe -p x -k modules
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_16.rules:-a always,exit -F arch=b64 -S init_module -S delete_module -k modules
/etc/audit/rules.d/ubuntu1804cis_rule_4_1_16.rules:-a always,exit -F arch=b32 -S init_module -S delete_module -k modules
-w /sbin/insmod -p x -k modules
-w /sbin/rmmod -p x -k modules
-w /sbin/modprobe -p x -k modules
-a always,exit -F arch=b64 -S init_module,delete_module -F key=modules
-a always,exit -F arch=b32 -S init_module,delete_module -F key=modules
",0.033152103424072266
4.1.19,audit configuration is mutable,FAIL,"/etc/audit/rules.d/ubuntu1804cis_rule_4_1_9.rules:-a always,exit -F arch=b64 -S setxattr -S lsetxattr -S fsetxattr -S removexattr -S lremovexattr -S fremovexattr -F auid>=1000 -F auid!=4294967295 -k perm_mod

",0.014327764511108398
4.2.1.1,rsyslog not checked (ind distro),CHEK,Distribution was not specified,5.125999450683594e-05
4.2.1.2,rsyslog runlevel S02 not found,FAIL,"enabled

ls /etc/rc*.d | grep rsyslog returned the following
K01rsyslog
K01rsyslog
S01rsyslog
S01rsyslog
S01rsyslog
S01rsyslog
K01rsyslog
",0.047426700592041016
4.2.1.3,logging is configured,CHEK,"Review the contents of rsyslog.conf
#  /etc/rsyslog.conf	Configuration file for rsyslog.
#
#			For more information see
#			/usr/share/doc/rsyslog-doc/html/rsyslog_conf.html
#
#  Default logging rules can be found in /etc/rsyslog.d/50-default.conf


#################
#### MODULES ####
#################

module(load=""imuxsock"") # provides support for local system logging
#module(load=""immark"")  # provides --MARK-- message capability

# provides UDP syslog reception
#module(load=""imudp"")
#input(type=""imudp"" port=""514"")

# provides TCP syslog reception
#module(load=""imtcp"")
#input(type=""imtcp"" port=""514"")

# provides kernel logging support and enable non-kernel klog messages
module(load=""imklog"" permitnonkernelfacility=""on"")

###########################
#### GLOBAL DIRECTIVES ####
###########################

#
# Use traditional timestamp format.
# To enable high precision timestamps, comment out the following line.
#
$ActionFileDefaultTemplate RSYSLOG_TraditionalFileFormat

# Filter duplicated messages
$RepeatedMsgReduction on

#
# Set the default permissions for all log files.
#
$FileOwner syslog
$FileGroup adm
$FileCreateMode 0640
$DirCreateMode 0755
$Umask 0022
$PrivDropToUser syslog
$PrivDropToGroup syslog

#
# Where to place spool and state files
#
$WorkDirectory /var/spool/rsyslog

#
# Include all config files in /etc/rsyslog.d/
#
$IncludeConfig /etc/rsyslog.d/*.conf
Review the contents of rsyslog.d/*.conf
# Log kernel generated UFW log messages to file
:msg,contains,""[UFW "" /var/log/ufw.log

# Uncomment the following to stop logging anything that matches the last rule.
# Doing this will stop logging kernel generated UFW log messages to the file
# normally containing kern.* messages (eg, /var/log/kern.log)
#& stop
# Log cloudinit generated log messages to file
:syslogtag, isequal, ""[CLOUDINIT]"" /var/log/cloud-init.log

# comment out the following line to allow CLOUDINIT messages through.
# Doing so means you'll also get CLOUDINIT messages in /var/log/syslog
& stop
#  Default rules for rsyslog.
#
#			For more information see rsyslog.conf(5) and /etc/rsyslog.conf

#
# First some standard log files.  Log by facility.
#
auth,authpriv.*			/var/log/auth.log
*.*;auth,authpriv.none		-/var/log/syslog
#cron.*				/var/log/cron.log
#daemon.*			-/var/log/daemon.log
kern.*				-/var/log/kern.log
#lpr.*				-/var/log/lpr.log
mail.*				-/var/log/mail.log
#user.*				-/var/log/user.log

#
# Logging for the mail system.  Split it up so that
# it is easy to write scripts to parse these files.
#
#mail.info			-/var/log/mail.info
#mail.warn			-/var/log/mail.warn
mail.err			/var/log/mail.err

#
# Some ""catch-all"" log files.
#
#*.=debug;\
#	auth,authpriv.none;\
#	news.none;mail.none	-/var/log/debug
#*.=info;*.=notice;*.=warn;\
#	auth,authpriv.none;\
#	cron,daemon.none;\
#	mail,news.none		-/var/log/messages

#
# Emergencies are sent to everybody logged in.
#
*.emerg				:omusrmsg:*

#
# I like to have messages displayed on the console, but only on a virtual
# console I usually leave idle.
#
#daemon,mail.*;\
#	news.=crit;news.=err;news.=notice;\
#	*.=debug;*.=info;\
#	*.=notice;*.=warn	/dev/tty8
verify that the log files are logging information
total 1148
drwxr-xr-x  2 root      root              4096 Feb  2  2018 aide
-rw-r-----  1 root      root              1088 Jul 30 06:09 alternatives.log
drwxr-xr-x  2 root      root              4096 Sep 27  2018 apparmor
drwxr-xr-x  2 root      root              4096 Jul 30 06:10 apt
drwxr-x---  2 root      adm               4096 Jul 30 06:10 audit
-rw-r-----  1 syslog    adm              37874 Aug  2 07:06 auth.log
drwxr-xr-x  3 root      root              4096 Aug  2 06:55 azure
-rw-rw----  1 root      utmp              4224 Aug  2 06:54 btmp
drwxr-xr-x  2 _chrony   _chrony           4096 Aug  2 06:55 chrony
-rw-r-----  1 root      adm              10345 Aug  2 06:46 cloud-init-output.log
-rw-r-----  1 syslog    adm             304757 Aug  2 06:46 cloud-init.log
drwxr-xr-x  2 root      root              4096 Apr 20 21:36 dist-upgrade
-rw-r-----  1 root      root            107796 Jul 30 06:10 dpkg.log
drwxr-sr-x+ 3 root      systemd-journal   4096 Jul 30 05:59 journal
-rw-r-----  1 syslog    adm             118265 Aug  2 06:47 kern.log
drwxr-xr-x  2 landscape landscape         4096 Jul 30 06:00 landscape
-rw-rw-r--  1 root      utmp            292584 Aug  2 06:56 lastlog
drwxr-xr-x  2 root      root              4096 Nov 23  2018 lxd
-rw-r-----  1 syslog    adm                143 Aug  2 06:46 mail.log
drwxr-x---  2 root      adm               4096 Apr 14 12:52 samba
-rw-------  1 root      root              8917 Aug  2 07:06 sudo.log
-rw-r-----  1 syslog    adm             428760 Aug  2 07:06 syslog
-rw-------  1 root      root             64128 Aug  2 06:55 tallylog
-rw-------  1 root      root              1328 Aug  2 06:56 ubuntu-advantage.log
drwxr-x---  2 root      adm               4096 Jul 30 06:00 unattended-upgrades
-rw-r-----  1 root      root             29677 Aug  2 07:01 waagent.log
-rw-rw-r--  1 root      utmp              6144 Aug  2 06:56 wtmp

",0.05114316940307617
4.2.1.4,rsyslog file permissions configured,PASS,"/etc/rsyslog.conf:$FileCreateMode 0640

",0.017084360122680664
4.2.1.5,rsyslog does not sends logs,FAIL,,0.019092321395874023
4.2.1.6,rsyslog messages not config,FAIL,,0.03477907180786133
4.2.2.1,journald sends logs to rsyslog,PASS,"ForwardToSyslog=yes
",0.0175020694732666
4.2.2.2,jjournald compresses large log files,PASS,"Compress=yes
",0.015071868896484375
4.2.2.3,journald writes logfiles to persistent disk,PASS,"Storage=persistent
",0.016146421432495117
4.2.3,logfiles permissions not configured,FAIL,"   272661      4 -rw-r--r--   1 root     root         1828 Aug  2 06:55 /var/log/azure/Microsoft.OSTCExtensions.VMAccessForLinux/extension.log
    85991      4 -rw-r-----   1 root     root         1088 Jul 30 06:09 /var/log/alternatives.log
    85863    420 -rw-r-----   1 syslog   adm        428760 Aug  2 07:06 /var/log/syslog
    63368    112 -rw-r-----   1 root     root       107796 Jul 30 06:10 /var/log/dpkg.log
    85860     32 -rw-r-----   1 root     root        29677 Aug  2 07:01 /var/log/waagent.log
    63357      8 -rw-rw-r--   1 root     utmp         6144 Aug  2 06:56 /var/log/wtmp
    85974      4 -rw-r-----   1 root     root          112 Jul 30 06:11 /var/log/unattended-upgrades/unattended-upgrades-shutdown.log
   258075   6732 -rw-r-----   1 root     adm       6885694 Aug  2 07:06 /var/log/audit/audit.log
   270472  10248 -r--r-----   1 root     adm      10485839 Jul 30 06:10 /var/log/audit/audit.log.1
     1731      4 -rw-------   1 root     root         1328 Aug  2 06:56 /var/log/ubuntu-advantage.log
    85985   8192 -rw-r-----   1 root     systemd-journal  8388608 Jul 30 06:11 /var/log/journal/f04b4779d5e64db0bc6e49a92978e646/user-1000.journal
      755  49156 -rw-r-----   1 root     systemd-journal 50331648 Aug  2 07:06 /var/log/journal/f04b4779d5e64db0bc6e49a92978e646/system.journal
     1655   8192 -rw-r-----   1 root     systemd-journal  8388608 Aug  2 07:02 /var/log/journal/f04b4779d5e64db0bc6e49a92978e646/user-1001.journal
    10253  32772 -rw-r-----   1 root     systemd-journal 33554432 Jul 30 06:10 /var/log/journal/f04b4779d5e64db0bc6e49a92978e646/system@911d25f6ee9d495995d64702d9406507-0000000000000001-0005c850eb18ad44.journal
    86399      4 -rw-r-----   1 syslog   adm                  143 Aug  2 06:46 /var/log/mail.log
    86004      0 -rw-r-----   1 root     root                   0 Jul 30 06:00 /var/log/landscape/sysinfo.log
      399     12 -rw-------   1 root     root                8917 Aug  2 07:06 /var/log/sudo.log
    63359     12 -rw-rw-r--   1 root     utmp              292584 Aug  2 06:56 /var/log/lastlog
    10271    304 -rw-r-----   1 syslog   adm               304757 Aug  2 06:46 /var/log/cloud-init.log
    85862     44 -rw-r-----   1 syslog   adm                37874 Aug  2 07:06 /var/log/auth.log
    85864    116 -rw-r-----   1 syslog   adm               118265 Aug  2 06:47 /var/log/kern.log
       93     24 -rw-r--r--   1 root     root               23272 Jul 30 06:10 /var/log/apt/eipp.log.xz
    63362     12 -rw-r--r--   1 root     root               10679 Jul 30 06:10 /var/log/apt/history.log
    63361     44 -rw-r-----   1 root     adm                40480 Jul 30 06:10 /var/log/apt/term.log
      310      8 -rw-------   1 root     root               64128 Aug  2 06:55 /var/log/tallylog
    10270     12 -rw-r-----   1 root     adm                10345 Aug  2 06:46 /var/log/cloud-init-output.log
    63358      8 -rw-rw----   1 root     utmp                4224 Aug  2 06:54 /var/log/btmp
   272584      4 -rw-r--r--   1 _chrony  _chrony              924 Aug  2 07:04 /var/log/chrony/tracking.log
   272587      4 -rw-r--r--   1 _chrony  _chrony             3151 Aug  2 07:04 /var/log/chrony/measurements.log
   272586      4 -rw-r--r--   1 _chrony  _chrony             1755 Aug  2 07:04 /var/log/chrony/statistics.log
",0.024989843368530273
4.3,lograte is configured,CHEK,"verify logs in logrotate.conf are rotated according to site policy
# see ""man logrotate"" for details
# rotate log files weekly
daily

# use the syslog group by default, since this is the owning group
# of /var/log/syslog.
su root syslog

# keep 4 weeks worth of backlogs
rotate 4

# create new (empty) log files after rotating old ones
create

# uncomment this if you want your log files compressed
#compress

# packages drop log rotation information into this directory
include /etc/logrotate.d

# no packages own wtmp, or btmp -- we'll rotate them here
/var/log/wtmp {
    missingok
    daily
    create 0664 root utmp
    rotate 1
}

/var/log/btmp {
    missingok
    daily
    create 0660 root utmp
    rotate 1
}

# system-specific logs may be configured here
verify logs in logrotate directory are rotated according to site policy
/var/log/alternatives.log {
	daily
	rotate 12
	compress
	delaycompress
	missingok
	notifempty
	create 644 root root
}
/var/log/apt/term.log {
  rotate 12
  daily
  compress
  missingok
  notifempty
}

/var/log/apt/history.log {
  rotate 12
  daily
  compress
  missingok
  notifempty
}

/var/log/chrony/*.log {
    missingok
    nocreate
    sharedscripts
    postrotate
        /usr/bin/chronyc cyclelogs > /dev/null 2>&1 || true
    endscript
}
/var/log/dpkg.log {
	daily
	rotate 12
	compress
	delaycompress
	missingok
	notifempty
	create 644 root root
}
/var/log/lxd/lxd.log {
       copytruncate
       daily
       rotate 7
       delaycompress
       compress
       notifempty
       missingok
}
/var/log/syslog
{
	rotate 7
	daily
	missingok
	notifempty
	delaycompress
	compress
	postrotate
		/usr/lib/rsyslog/rsyslog-rotate
	endscript
}

/var/log/mail.info
/var/log/mail.warn
/var/log/mail.err
/var/log/mail.log
/var/log/daemon.log
/var/log/kern.log
/var/log/auth.log
/var/log/user.log
/var/log/lpr.log
/var/log/cron.log
/var/log/debug
/var/log/messages
{
	rotate 4
	daily
	missingok
	notifempty
	compress
	delaycompress
	sharedscripts
	postrotate
		/usr/lib/rsyslog/rsyslog-rotate
	endscript
}
/var/log/ubuntu-advantage.log {
    rotate 6
    daily
    compress
    delaycompress
    missingok
    notifempty
}
/var/log/ufw.log
{
	rotate 4
	daily
	missingok
	notifempty
	compress
	delaycompress
	sharedscripts
	postrotate
		invoke-rc.d rsyslog rotate >/dev/null 2>&1 || true
	endscript
}
/var/log/unattended-upgrades/unattended-upgrades.log 
/var/log/unattended-upgrades/unattended-upgrades-dpkg.log
/var/log/unattended-upgrades/unattended-upgrades-shutdown.log
{
  rotate 6
  daily
  compress
  missingok
  notifempty
}
/var/log/waagent.log {
    compress
    daily
    rotate 6
    notifempty
    missingok
}

",0.0285036563873291
5.1.1,cron daemon not found,FAIL,"systemctl is-enabled crond returned the following
Failed to get unit file state for crond.service: No such file or directory
",0.024384498596191406
5.1.2,perms on /etc/crontab not configured,FAIL,"  File: /etc/crontab
  Size: 838       	Blocks: 8          IO Block: 4096   regular file
Device: 801h/2049d	Inode: 847         Links: 1
Access: (0600/-rw-------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:46:41.689438304 +0000
Modify: 2021-07-30 06:09:00.128554190 +0000
Change: 2021-07-30 06:10:17.572819980 +0000
 Birth: -

",0.016593217849731445
5.1.3,perms on /etc/cron.hourly not configured,FAIL,"  File: /etc/cron.hourly
  Size: 4096      	Blocks: 8          IO Block: 4096   directory
Device: 801h/2049d	Inode: 1338        Links: 2
Access: (0700/drwx------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:56:46.502141321 +0000
Modify: 2021-07-21 00:34:42.546971504 +0000
Change: 2021-07-30 06:10:17.716836635 +0000
 Birth: -

",0.018314361572265625
5.1.4,perms on /etc/cron.daily not configured,FAIL,"  File: /etc/cron.daily
  Size: 4096      	Blocks: 8          IO Block: 4096   directory
Device: 801h/2049d	Inode: 413         Links: 2
Access: (0700/drwx------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:56:46.486141290 +0000
Modify: 2021-07-30 06:10:47.708305131 +0000
Change: 2021-07-30 06:10:47.708305131 +0000
 Birth: -

",0.017779827117919922
5.1.5,perms on /etc/cron.weekly not configured,FAIL,"  File: /etc/cron.weekly
  Size: 4096      	Blocks: 8          IO Block: 4096   directory
Device: 801h/2049d	Inode: 1342        Links: 2
Access: (0700/drwx------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:56:46.502141321 +0000
Modify: 2021-07-21 00:36:34.801522842 +0000
Change: 2021-07-30 06:10:18.004869946 +0000
 Birth: -

",0.017778873443603516
5.1.6,perms on /etc/cron.monthly not configured,FAIL,"  File: /etc/cron.monthly
  Size: 4096      	Blocks: 8          IO Block: 4096   directory
Device: 801h/2049d	Inode: 1340        Links: 2
Access: (0700/drwx------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:56:46.486141290 +0000
Modify: 2021-07-21 00:34:42.546971504 +0000
Change: 2021-07-30 06:10:18.148886602 +0000
 Birth: -

",0.017221450805664062
5.1.7,perms on /etc/cron.d not configured,FAIL,"  File: /etc/cron.d
  Size: 4096      	Blocks: 8          IO Block: 4096   directory
Device: 801h/2049d	Inode: 1334        Links: 2
Access: (0700/drwx------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:46:41.689438304 +0000
Modify: 2021-07-21 00:36:10.733835490 +0000
Change: 2021-07-30 06:10:18.296903720 +0000
 Birth: -

",0.01866459846496582
5.1.8,/etc/cron.allow not configured,FAIL,"stat: cannot stat '/etc/cron.deny': No such file or directory
stat: cannot stat '/etc/at.deny': No such file or directory

stat /etc/at.allow returned the following
  File: /etc/cron.allow
  Size: 1         	Blocks: 8          IO Block: 4096   regular file
Device: 801h/2049d	Inode: 272538      Links: 1
Access: (0600/-rw-------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-07-30 06:10:19.068993011 +0000
Modify: 2021-07-30 06:10:18.976982370 +0000
Change: 2021-07-30 06:10:19.068993011 +0000
 Birth: -
",0.045999765396118164
5.2.1,perms on sshd_config not configured,FAIL,"  File: /etc/ssh/sshd_config
  Size: 4119      	Blocks: 16         IO Block: 4096   regular file
Device: 801h/2049d	Inode: 272535      Links: 1
Access: (0600/-rw-------)  Uid: (    0/    root)   Gid: (    0/    root)
Access: 2021-08-02 06:46:41.805881834 +0000
Modify: 2021-07-30 06:10:23.441498689 +0000
Change: 2021-07-30 06:10:23.441498689 +0000
 Birth: -

",0.02021479606628418
